buyer_id,buyer_name,export_country,export_region,buyer_type,order_count,total_boxes,total_stickers,primary_items,special_notes
BYR-112,Pacific_Islands (피지),피지,오세아니아,해외 직수출 거래처,41,3475,73672,"화이트빼빼로, 딸기빼빼로, 초코파이",오세아니아 수입 식품 규격 검역 라벨 규정 준수
BYR-114,Hamchorom_Global,수출 벤더사,글로벌 무역상사,글로벌 무역/수출 벤더사,50,7001,72302,"미림, 치토스 매콤달콤, 치토스바베큐",LCL 다품종 혼적 선적 비중 높음 (출하 박스 단위 바코드 및 라벨 식별성 철저 유지)
BYR-091,Global_Health (싱가포르),싱가포르,아시아,현지 전문 수입유통사,58,2103,66704,"쌍화 골드, 광동 진한 헛개차, 광동 옥수수 수염차",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-025,Order #1787,수출 오더코드,일반 오더,일반 수출 오더코드,12,1846,54636,"제로 후르츠 젤리, 캐나다용 화이트 빼빼로, 제로 시트러스 유자젤리",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-111,Palama_Super (미주),미국,북미,해외 한인/아시안 대형마트,73,2710,50338,"구운 감자, 맛동산, 밀싹보리차",미국 FDA 영양성분표(Nutrition Facts) 서식 일치 및 서빙 사이즈 확인
BYR-026,Order #2194,수출 오더코드,일반 오더,일반 수출 오더코드,13,3382,49636,"스노위아몬드빼빼로, 초코파이 녹차, 초코필드 빼빼로",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-120,Global_Trading_H,수출 벤더사,글로벌 무역상사,글로벌 무역/수출 벤더사,11,2800,49600,"국화빵식물성오리지날, 국화빵찰떡모나카, 허니버터칩",LCL 다품종 혼적 선적 비중 높음 (출하 박스 단위 바코드 및 라벨 식별성 철저 유지)
BYR-022,Order #1709,수출 오더코드,일반 오더,일반 수출 오더코드,7,2132,48024,"캐나다용 크런키 빼빼로, 초코필드 빼빼로, 카스타드",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-094,기타/일반,기타 수출처,기타,해외 직수출 거래처,44,1792,42454,"자유시간, 망고캔, 초코빼빼로",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-052,Order #527,수출 오더코드,일반 오더,일반 수출 오더코드,14,2170,40280,"초코픽, 구운 고구마, 사브레",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-080,Order #D76,수출 오더코드,일반 오더,일반 수출 오더코드,12,2608,37980,"초코픽, 샌드에이스크림라떼, 오예스베이크하우스얼&쇼",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-002,Distributor_007 (캐나다),캐나다,북미,현지 전문 수입유통사,46,2122,35538,"허니버터칩, 에이스, 홈런볼 초코 벌크",캐나다 식품법상 영어/프랑스어 2개 공용어 병기(Bilingual) 필수 라벨 검수
BYR-104,외포장 박스 작업,기타 수출처,기타,해외 직수출 거래처,42,35315,35315,box (외포장 라벨링),표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-046,Order #437,수출 오더코드,일반 오더,일반 수출 오더코드,9,2060,34200,"홈런볼피스타치오&카라멜, 예쓰피스타치오&초코, 에이스씬에스프레소",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-055,Order #858,수출 오더코드,일반 오더,일반 수출 오더코드,6,2810,33860,"롤리폴리, 초코픽, 허니버터 메이플",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-019,Order #147,수출 오더코드,일반 오더,일반 수출 오더코드,17,2095,33680,"얼려먹는 초코 만들기, 딸기 웨하스, 크림 웨하스",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-038,Order #334,수출 오더코드,일반 오더,일반 수출 오더코드,13,2596,30952,"아몬드크래커, 버터링딥라즈베리, 구운 감자",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-039,Order #3576,수출 오더코드,일반 오더,일반 수출 오더코드,4,826,30640,"스노위아몬드빼빼로, 캐나다용 초코쿠키 빼빼로, 캐나다용 크런키 빼빼로",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-030,Order #265,수출 오더코드,일반 오더,일반 수출 오더코드,15,1720,29180,"솔틴크래커, 구운 고구마, 홈런볼 소금우유",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-079,Order #D75,수출 오더코드,일반 오더,일반 수출 오더코드,10,1600,29100,"구운 감자, 롤리폴리, 에이스 바스크 치즈",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-100,Vancouver_Logistics,기타 수출처,기타,해외 직수출 거래처,13,7195,28780,"바이오필 플레인, 바이오필 파인애플, 바이오필 스트로베리",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-062,Order #A58,수출 오더코드,일반 오더,일반 수출 오더코드,9,1420,27700,"크림 웨하스, 오리지날 크래커, 구운감자슬림",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-007,Order #009,수출 오더코드,일반 오더,일반 수출 오더코드,14,1390,26440,"딸기 웨하스, 연양갱, 크림 웨하스",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-048,Order #465,수출 오더코드,일반 오더,일반 수출 오더코드,23,1586,25412,"사브레, 자두, 구운감자슬림",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-011,Order #072,수출 오더코드,일반 오더,일반 수출 오더코드,12,1296,25212,"크림 웨하스, 딸기 웨하스, 샌드에이스 우유크림",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-056,Order #905,수출 오더코드,일반 오더,일반 수출 오더코드,4,1760,25120,"구운 나초, 버터링골드",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-086,Order #L26,수출 오더코드,일반 오더,일반 수출 오더코드,9,1910,23920,"샌드에이스찐초코, 아몬드크래커, 에이스씬에스프레소",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-054,Order #856,수출 오더코드,일반 오더,일반 수출 오더코드,1,2132,21320,구운 고구마,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-071,Order #D03,수출 오더코드,일반 오더,일반 수출 오더코드,6,1360,20200,"홈런볼 소금우유, 에이스 바스크 치즈, 샌드에이스 우유크림",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-061,Order #A57,수출 오더코드,일반 오더,일반 수출 오더코드,8,880,19820,"딸기 웨하스, 구운 고구마, 에이스씬에스프레소",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-017,Order #1459,수출 오더코드,일반 오더,일반 수출 오더코드,2,387,18180,"초코필드 빼빼로, 캐나다용아몬드빼빼로벌크",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-082,Order #K83,수출 오더코드,일반 오더,일반 수출 오더코드,5,1650,17600,"에이스씬에스프레소, 에이스 바스크 치즈, The 빠새",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-024,Order #1740,수출 오더코드,일반 오더,일반 수출 오더코드,2,801,17433,"스노위아몬드빼빼로, 캐나다용아몬드빼빼로벌크",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-065,Order #A66,수출 오더코드,일반 오더,일반 수출 오더코드,7,1210,16900,"오예스 우베라떼, 딸기 웨하스, 에이스 바스크 치즈",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-023,Order #1739,수출 오더코드,일반 오더,일반 수출 오더코드,2,430,16048,"스노위아몬드빼빼로, 칸쵸",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-085,Order #L25,수출 오더코드,일반 오더,일반 수출 오더코드,3,1100,15800,"솔틴크래커, 오리지날 크래커, 에이스 바스크 치즈",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-064,Order #A65,수출 오더코드,일반 오더,일반 수출 오더코드,8,950,15500,"크림 웨하스, 사브레, 에이스씬에스프레소",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-010,Order #071,수출 오더코드,일반 오더,일반 수출 오더코드,4,1193,15188,"허니버터 메이플, 오사쯔, 롤리폴리",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-067,Order #C03,수출 오더코드,일반 오더,일반 수출 오더코드,10,880,15120,"얼려먹는 초코 만들기, 딸기 웨하스, 크림 웨하스",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-029,Order #264,수출 오더코드,일반 오더,일반 수출 오더코드,5,1150,14600,"구운 감자, 오리지날 크래커, 알사탕",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-096,대만 직수출,대만,아시아,해외 직수출 거래처,6,1170,13500,"버터링딥초코, 구운 감자, 구운감자슬림",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-106,토론토,기타 수출처,기타,해외 직수출 거래처,6,3200,12800,"바이오필 플레인, 바이오필 파인애플, 바이오필 스트로베리",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-042,Order #432,수출 오더코드,일반 오더,일반 수출 오더코드,4,800,12800,"홈런볼피스타치오&카라멜, 예쓰피스타치오&초코, 자유시간미니피스타치오&카다",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-095,다온,기타 수출처,기타,해외 직수출 거래처,7,1200,12600,"치토스매콤달콤(대), 치토스바베큐(대), 까스활명수",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-051,Order #526,수출 오더코드,일반 오더,일반 수출 오더코드,4,800,12000,"자두, 오리지날 크래커, The 빠새",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-012,Order #080,수출 오더코드,일반 오더,일반 수출 오더코드,7,560,11840,"홈런볼 소금우유, 구운 고구마, 롤리폴리",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-040,Order #3669,수출 오더코드,일반 오더,일반 수출 오더코드,5,1070,11760,"카스타드, 제로 시트러스 유자젤리, 제로 후르츠 젤리",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-047,Order #464,수출 오더코드,일반 오더,일반 수출 오더코드,4,1000,11400,"버터링골드, 구운 감자, 에이스 바스크 치즈",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-099,면사랑,기타 수출처,기타,해외 직수출 거래처,6,1500,11200,"(냉동)가는면발 우동면, 녹차메밀소바, 메밀면",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-118,해태 오크라,기타 수출처,기타,해외 직수출 거래처,17,425,10520,"자유시간 아몬드, 에이스, 버터링골드",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-035,Order #331,수출 오더코드,일반 오더,일반 수출 오더코드,5,700,10400,"자두, 초코픽, 사브레",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-050,Order #525,수출 오더코드,일반 오더,일반 수출 오더코드,5,808,9880,"버터링딥피스타치오, 얼려먹는 초코 만들기, 연양갱",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-069,Order #D01,수출 오더코드,일반 오더,일반 수출 오더코드,4,800,9800,"에이스씬에스프레소, 버터링딥초코, 구운 감자 케이스",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-068,Order #C98,수출 오더코드,일반 오더,일반 수출 오더코드,3,650,9600,"자두, 연양갱 10팩, 구운 감자",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-036,Order #332,수출 오더코드,일반 오더,일반 수출 오더코드,7,877,9270,"롤리폴리, 구운 감자, 구운 감자 케이스",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-077,Order #D40,수출 오더코드,일반 오더,일반 수출 오더코드,5,550,9200,"초코픽, 자두, 에이스씬에스프레소",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-117,해태 러시아 사이베리아,러시아,유라시아,해외 직수출 거래처,2,347,9036,"초코픽, 화이트엔젤큐티",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-060,Order #A56,수출 오더코드,일반 오더,일반 수출 오더코드,3,782,8684,"샌드에이스 우유크림, 연양갱 10팩, 오사쯔",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-034,Order #322,수출 오더코드,일반 오더,일반 수출 오더코드,8,690,8440,"구운 감자, 오사쯔, 초코픽",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-116,해태 러시아,러시아,유라시아,해외 직수출 거래처,1,229,8244,화이트엔젤큐티,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-075,Order #D38,수출 오더코드,일반 오더,일반 수출 오더코드,4,660,8220,"신당동신떡볶이, 버터링딥초코, 롤리폴리",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-053,Order #752,수출 오더코드,일반 오더,일반 수출 오더코드,3,550,8200,"오리지날 크래커, 사브레, The 빠새",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-059,Order #A20,수출 오더코드,일반 오더,일반 수출 오더코드,4,1100,8000,"오예스미니크림소다맛, 오사쯔, 홈런볼 옥수수콘 크림맛",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-027,Order #2440,수출 오더코드,일반 오더,일반 수출 오더코드,5,1564,8000,"카스타드, 초코파이 녹차, 캐나다용 딸기 빼빼로",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-119,해태오크라,기타 수출처,기타,해외 직수출 거래처,13,330,7960,"에이스, 자유시간, 버터링골드",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-016,Order #1458,수출 오더코드,일반 오더,일반 수출 오더코드,2,460,7840,"카스타드, 몽쉘 오리지날",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-058,Order #A18,수출 오더코드,일반 오더,일반 수출 오더코드,3,500,7600,"오리지날 크래커, 샌드에이스 우유크림, 연양갱 10팩",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-070,Order #D02,수출 오더코드,일반 오더,일반 수출 오더코드,4,640,7500,"구운감자슬림, 구운 고구마, 구운나초케이스",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-092,광동 (인도네시아),인도네시아,아시아,현지 전문 수입유통사,5,370,7200,"광동 옥수수 수염차, 광동 진한 헛개차, 광동비타500F캔",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-066,Order #B76,수출 오더코드,일반 오더,일반 수출 오더코드,1,336,5376,허니버터칩,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-098,롯데 웰푸드,기타 수출처,기타,해외 직수출 거래처,3,585,5265,"환만식초, 환만사과식초",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-018,Order #146,수출 오더코드,일반 오더,일반 수출 오더코드,1,500,5000,에이스 바스크 치즈,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-049,Order #466,수출 오더코드,일반 오더,일반 수출 오더코드,9,220,4920,"자유시간, 홈런볼 9팩, 오사쯔",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-028,Order #263,수출 오더코드,일반 오더,일반 수출 오더코드,2,450,4600,"오사쯔, 사브레초코크렘",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-008,Order #020,수출 오더코드,일반 오더,일반 수출 오더코드,3,450,4500,"에이스 바스크 치즈, 버터링딥초코, 구운 감자",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-063,Order #A59,수출 오더코드,일반 오더,일반 수출 오더코드,2,400,4200,"사브레, 홈런볼 파티팩",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-057,Order #994,수출 오더코드,일반 오더,일반 수출 오더코드,2,140,4000,"얼려먹는 초코 만들기, 크림 웨하스",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-073,Order #D08,수출 오더코드,일반 오더,일반 수출 오더코드,11,300,3900,"연양갱, 홈런볼 9팩, 구운 감자 케이스",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-078,Order #D74,수출 오더코드,일반 오더,일반 수출 오더코드,2,350,3600,"오사쯔, 구운 감자 케이스",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-087,Order #L58,수출 오더코드,일반 오더,일반 수출 오더코드,7,300,3340,"에이스 바스크 치즈, 사브레, 구운 감자",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-115,해태 BFG리테일,기타 수출처,기타,해외 직수출 거래처,1,23,3312,자유시간,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-107,토론토 갑산 개발,기타 수출처,기타,해외 직수출 거래처,1,120,2880,매일 요구르트 로어슈거,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-108,토론토(갑산개발),기타 수출처,기타,해외 직수출 거래처,1,120,2880,매일 요구르트 로어슈거,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-101,Vancouver_Logistics,기타 수출처,기타,해외 직수출 거래처,1,120,2880,매일 요구르트 로어슈거,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-043,Order #433,수출 오더코드,일반 오더,일반 수출 오더코드,4,210,2860,"버터링딥피스타치오, 홈런볼피스타치오&카라멜, 예쓰피스타치오&초코",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-044,Order #435,수출 오더코드,일반 오더,일반 수출 오더코드,3,250,2500,"연양갱, 구운 고구마",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-076,Order #D38 → E23으로 변경,수출 오더코드,일반 오더,일반 수출 오더코드,1,200,2400,신당동신떡볶이,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-084,Order #L24,수출 오더코드,일반 오더,일반 수출 오더코드,2,100,2400,"얼려먹는 초코 만들기, 초코픽",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-033,Order #321,수출 오더코드,일반 오더,일반 수출 오더코드,1,300,2400,홈런볼 9팩,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-009,Order #058,수출 오더코드,일반 오더,일반 수출 오더코드,10,205,2310,"버터링골드, The 빠새, 버터링딥초코",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-081,Order #K82,수출 오더코드,일반 오더,일반 수출 오더코드,1,200,2000,오사쯔,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-045,Order #436,수출 오더코드,일반 오더,일반 수출 오더코드,1,50,2000,크림 웨하스,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-074,Order #D09,수출 오더코드,일반 오더,일반 수출 오더코드,6,210,1940,"홈런볼 9팩, 구운 감자, 버터링골드",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-014,Order #143,수출 오더코드,일반 오더,일반 수출 오더코드,1,50,1500,홈런볼 소금우유,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-083,Order #L08,수출 오더코드,일반 오더,일반 수출 오더코드,1,150,1500,초코사브레,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-072,Order #D05,수출 오더코드,일반 오더,일반 수출 오더코드,2,100,1200,"에이스씬솔티카라멜, 홈런볼옥수수4번들",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-037,Order #333,수출 오더코드,일반 오더,일반 수출 오더코드,1,100,1200,구운감자슬림,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-041,Order #430,수출 오더코드,일반 오더,일반 수출 오더코드,2,110,1160,"구운 감자, 사브레",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-015,Order #144,수출 오더코드,일반 오더,일반 수출 오더코드,1,100,1000,버터링딥초코,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-001,#23,기타 수출처,기타,해외 직수출 거래처,1,100,1000,The 빠새,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-090,경북통상,기타 수출처,기타,해외 직수출 거래처,2,180,940,"까스활명수, 고소한미숫가루두유",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-032,Order #299,수출 오더코드,일반 오더,일반 수출 오더코드,1,621,936,허니버터칩,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-003,147(265),기타 수출처,기타,해외 직수출 거래처,1,100,800,홈런볼파티팩(12입),표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-031,Order #266,수출 오더코드,일반 오더,일반 수출 오더코드,2,50,560,"버터링골드, 오사쯔",표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-088,Order #L70,수출 오더코드,일반 오더,일반 수출 오더코드,1,40,480,사브레,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-021,Order #159,수출 오더코드,일반 오더,일반 수출 오더코드,1,30,360,사브레,표준 수출 식품 라벨 부착 및 박스 마킹 검수
BYR-102,센츄리,기타 수출처,기타,해외 직수출 거래처,1,30,300,캐)오예스,표준 수출 식품 라벨 부착 및 박스 마킹 검수
