raw_alias,standard_item_name,notes
설레임쿠앤크,설레임쿠키앤크림,약어 공식명칭 통일
스노우 아몬드 빼빼로,스노위아몬드빼빼로,외래어 표기 통일 (스노우->스노위)
스노위 아몬드 빼빼로,스노위아몬드빼빼로,공백 정규화
신동동떡뽁이,신당동떡볶이,"다중 오타 교정 (신동동->신당동, 떡뽁이->떡볶이)"
신당동 떡뽁이,신당동떡볶이,받침 오타 교정 (떡뽁이->떡볶이)
신쫄이 샤인머스켓,신쫄이 샤인머스캣,외래어 표기 통일 (머스켓->머스캣)
애이타임 밀크,애니타임 밀크,자음 오타 교정 (애이->애니)
에이스 쎈에스프레소,에이스씬에스프레소,모음 오타 교정 (쎈->씬)
에이스 씬에스프레소,에이스씬에스프레소,공백 정규화
예감 오리지날,예감 오리지널,외래어 표기 통일 (오리지날->오리지널)
오예스 쿠기앤크림,오예스쿠키앤크림,자음 오타 교정 (쿠기->쿠키)
오예스 쿠키앤크림,오예스쿠키앤크림,공백 정규화
왔따 복숭아,왓따복숭아,모음 오타 교정 (왔따->왓따)
월드콘쿠앤크,월드콘쿠키앤크림,약어 공식명칭 통일
웰치스 청포도,웰치스청포도맛,맛 표기 통일
제로미니바이츠,제로미니바이트,외래어 표기 통일 (바이츠->바이트)
조리퐁,죠리퐁,모음 오타 교정 (조리퐁->죠리퐁)
쫄병스택 바베큐맛,쫄병스낵바베큐맛,자음 오타 교정 (스택->스낵)
쫄병스택 짜파케티맛,쫄병스낵짜파게티맛,"다중 오타 교정 (스택->스낵, 짜파케티->짜파게티)"
찰떡 아이스 하트딸기,찰떡아이스딸기,공식 명칭 통일
찰떡 아이스 쿠키앤크림,찰떡아이스쿠앤크,공식 명칭 통일
초코 빼뺴로,초코빼빼로,모음 오타 교정 (빼뺴로->빼빼로)
치토스 바비큐,치토스바베큐,외래어 표기 통일
칸초,칸쵸,모음 오타 교정 (칸초->칸쵸)
칸타빌레 바닐라향 아메리카노,칸타빌레바닐라맛아메리카노,명칭 통일
칸타빌레 복숭아 에이드,칸타빌레복숭아아이스티,명칭 통일
칸타빌레스더블망고에이드,칸타빌레더블망고에이드,오타 음절 정정 (스)
칸타빌레스블랙아메리카노,칸타빌레블랙아메리카노,오타 음절 정정 (스)
